Jon Skeet,"Reading, United Kingdom",1047863
BalusC,"Willemstad, Curaçao",818687
Darin Dimitrov,"Sofia, Bulgaria",814505
VonC,France,800368
Hans Passant,"Madison, WI",768855
Marc Gravell,"Forest of Dean, United Kingdom",754947
CommonsWare,"Pennsylvania, United States",742577
Martijn Pieters,"Cambridge, United Kingdom",669040
SLaks,New Jersey,658737
T.J. Crowder,United Kingdom,648420
Greg Hewgill,"Christchurch, New Zealand",640682
Quentin,United Kingdom,618845
paxdiablo,NULL,608187
Alex Martelli,"Sunnyvale, CA",597714
dasblinkenlight,United States,596099
CMS,Guatemala,568353
Mark Byers,Denmark,563558
Ignacio Vazquez-Abrams,NULL,558334
marc_s,"Bern, Switzerland",554126
JaredPar,"Redmond, WA",551985
Jonathan Leffler,"California, USA",542938
Guffa,"Västervåla, Sweden",538569
Felix Kling,"Sunnyvale, CA",522815
unutbu,NULL,518547
Nick Craver,"Winston-Salem, NC",517725
Eric Lippert,"Seattle, WA",516573
David Heffernan,"Ulverston, United Kingdom",504731
anubhava,"Bangalore, India",502264
BoltClock,Singapore,497083
Stephen C,Australia,495574
cletus,"New York, NY",491096
Gumbo,"Ulm, Germany",490655
CB Bailey,United Kingdom,489092
Bozho,"Sofia, Bulgaria",469889
Pascal Thivent,NULL,469210
Reed Copsey,"Bellingham, WA",456687
bobince,"Cambridge, UK",431209
Peter Lawrey,"Surrey, UK",427674
Daniel Roseman,"London, United Kingdom",426861
tvanfosson,"Iowa City, IA",414595
Oded,"London, United Kingdom",399075
Johannes Schaub - litb,"Frankfurt, Germany",396514
kennytm,Hong Kong,390554
Konrad Rudolph,"Cambridge, United Kingdom",383184
deceze,Germany,379395
Jerry Coffin,"San Diego, CA, United States",374513
Paolo Bergantino,"Kennewick, WA",363883
Bill Karwin,California,361611
nickf,"Zürich, Switzerland",359545
Kerrek SB,West of house,351918
